unique_trial_ID,ID,season,trial,task,path_efficiency,directional_path_efficiency,perc_backward,perc_backward_buffer,shrew_path_length,correct_path_length,total_deviation_sequences,first_deviation_point,first_deviation_length,total_deviations,total_deviation_length
winter_20210803-1_T8,20210803-1,winter,T8,maze,0.0605204029861564,0.2705570291777188,0.808726534753932,0.135593220338983,831.1583926618631,144.05837187885163,6,1,481.4829433714307,6,684.0864168453314
winter_20210802-3_T8,20210802-3,winter,T8,maze,0.2444792210050426,0.6634264884568651,0.7137889062771692,0.2211126961483595,583.8077183987878,144.76974647341316,11,1,277.2372347013742,11,412.16950942309234
summer_20210803-4_T1,20210803-4,summer,T1,maze,0.3375036368926389,0.6229760986892829,0.622636019784696,0.2949389179755672,459.72364104549393,142.3376995696959,11,1,4.857627199986603,11,241.40021054927223
winter_20240303-3_T3,20240303-3,winter,T3,maze,0.2396571002609019,0.5495867768595041,0.6392098397316437,0.125,462.1653428169472,141.3588600022446,8,1,308.8446398648226,8,340.61720590910824
winter_20240228-2_T6,20240228-2,winter,T6,maze,0.93,0.926829268292683,0.2483333333333333,0.164,134.5253717624407,140.5408468186029,5,3,1.725646657965106,5,5.835355264614345
winter_20210912-2_T10,20210912-2,winter,T10,maze,0.8314606741573034,0.7344632768361582,0.0056179775280898,0,103.67364497813574,144.18380974383305,4,1,6.7489639705636435,4,16.174947178283464
summer_20210802-7_T10,20210802-7,summer,T10,maze,0.3175792507204611,0.7425897035881436,0.6305475504322766,0.1217712177121771,368.1269083558769,145.30314135948177,1,1,245.5831718727154,1,245.5831718727154
spring_20240520-1_T1,20240520-1,spring,T1,maze,0.7865045758776124,0.8688365314549429,0.4376451304466603,0.3783454987834549,276.4791290457676,141.34066803174488,14,1,1.0025768437112763,14,101.7449849995979
winter_20210803-1_T5,20210803-1,winter,T5,maze,0.1928727417113361,0.3389290882778581,0.6570379193964662,0.3849789915966387,1498.7922309469698,144.21228336636997,17,1,218.1204503128872,17,1095.2445902265565
spring_20240520-1_T4,20240520-1,spring,T4,maze,0.5565008987417616,0.8073605520414031,0.5832234871180347,0.391153512575889,650.2536016153755,142.09152880184524,18,1,2.0044874916804822,18,303.77881560916234
winter_20240303-2_T6,20240303-2,winter,T6,maze,0.8947368421052632,0.7835497835497836,0.2401315789473684,0.0163043478260869,107.43923970173287,140.55276027195697,6,1,2.8715930077397407,6,17.21809963610137
spring_20210913-1_T5,20210913-1,spring,T5,maze,0.150920245398773,0.3434650455927052,0.596319018404908,0.0087719298245614,368.13056174906944,146.2292825322292,8,1,226.40616019574497,8,289.6164183446995
spring_20240524-1_T1,20240524-1,spring,T1,maze,0.0562412900656977,0.4548192771084337,0.9008560621142744,0.1823104693140794,964.0306430163528,141.3406680317449,7,1,19.02026379437316,7,795.305584328015
spring_20210912-1_T7,20210912-1,spring,T7,maze,0.9663299663299664,0.9463955637707948,0.0892255892255892,0.0741410488245931,123.36648271804252,146.57306821096546,3,5,1.6968008317953425,3,3.022438646892833
winter_20210912-3_T6,20210912-3,winter,T6,maze,0.2057272945123412,0.6928236083165661,0.8213515456506111,0.3821770334928229,650.1482745623723,145.33027253645506,9,2,33.73451758141343,9,328.8948155011792
summer_20210802-3_T5,20210802-3,summer,T5,maze,0.171147292692162,0.4375,0.6728511927300265,0.1428571428571428,300.3371274390442,141.8880676910668,7,3,2.324744595637597,7,169.45303793509686
summer_20210802-1_T6,20210802-1,summer,T6,maze,0.5027472527472527,0.7466504263093788,0.4361263736263736,0.1378340365682137,341.26661279013524,143.91803814952232,2,1,178.48972615712134,2,188.2397173631871
spring_20210803-8_T7,20210803-8,spring,T7,maze,0.6094177597433236,0.7568417159763313,0.8298889622849234,0.7882127703611714,487.8234052806495,144.92323558559588,36,2,3.180310837810519,36,150.23607847230093
summer_20210803-1_T5,20210803-1,summer,T5,maze,0.6507754164273406,0.802887633396108,0.5425043078690408,0.4297815425769059,462.4525323661785,141.836286466252,21,2,43.34428432955937,21,143.56891266605993
spring_20240520-1_T8,20240520-1,spring,T8,maze,0.4852135815991237,0.742409402546523,0.4408543263964951,0.1415628539071347,203.65149173731916,143.15171736062905,9,1,1.642662942358806,9,80.28251377766244
summer_20210909-1_T6,20210909-1,summer,T6,maze,0.7052631578947368,0.6775956284153005,0.0368421052631578,0.0461538461538461,98.29706496399668,141.8148684677059,9,1,6.851389424171551,9,35.14457979416025
winter_20210802-8_T7,20210802-8,winter,T7,maze,0.0521045800111255,0.114334837739093,0.568607454107176,0.0379746835443038,579.7492689973762,145.26053746444177,2,1,453.19816376587403,2,453.8289457265233
