unique_trial_ID,season,ID,trial,time_at_edge,total_trial_time,percent_time_at_edge,mean_speed,task,mean_speed_at_edge_cm_s,mean_speed_out_edge_cm_s,total_distance_at_edge_cm,total_distance_out_edge_cm
spring_20201103-1_T7,spring,20201103-1,T7,10412.6,47012,22.1488130690036,53.92213933597655,cue,105.68943377991609,39.19424406646513,1100.5017981767542,1434.4858162861835
spring_20201103-1_T8,spring,20201103-1,T8,44663.9,129224,34.5631616418003,27.518177415325408,cue,36.50448648113465,22.771688119730985,1630.4327337447498,1925.5762245732642
spring_20201103-1_T9,spring,20201103-1,T9,14274.6666666667,30083.2,47.4506258199482,80.67436931008803,cue,81.04443848209415,80.34020712295715,1156.882344519067,1270.0608423101723
spring_20201103-4_T1,spring,20201103-4,T1,9762.33333333333,37125.9333333333,26.2951862938575,34.94573191545745,cue,56.035439369511465,27.421694359398963,547.0366376049608,750.3562757728495
spring_20201103-4_T10,spring,20201103-4,T10,3942.83333333333,10520.5,37.4776230534037,93.70487360994848,cue,104.15240053517314,87.4423401768658,410.6555565767652,575.1665662366976
spring_20201103-4_T2,spring,20201103-4,T2,4218.7,9362.5,45.0595460614152,64.64984333432352,cue,71.35195972689323,59.15308637928359,301.01251249984455,304.271645717759
spring_20201103-4_T3,spring,20201103-4,T3,1466.2,7293.03333333333,20.1041176282388,98.15591947595308,cue,209.76338918873938,70.07224816914464,307.5550812285297,408.2993113735776
spring_20201103-4_T4,spring,20201103-4,T4,28460.0333333333,93654.5,30.3883244620743,34.82816514451212,cue,48.963378474303155,28.657570259573653,1393.4993834912837,1868.3150090354322
spring_20201103-4_T5,spring,20201103-4,T5,6771.46666666667,38127.6,17.7600128690677,21.164435157652775,cue,45.67549816751415,15.871185369120948,309.29011332471646,497.6590045922057
spring_20201103-4_T6,spring,20201103-4,T6,495.566666666667,1237.6,40.042555483732,153.4356626459459,cue,207.48950650831168,117.3358245119087,102.82488310863566,87.06709298198665
spring_20201103-4_T7,spring,20201103-4,T7,5594.76666666667,24949.2,22.4246335219833,71.37677284000584,cue,135.9184415348112,52.71977728732069,760.431966084244,1020.3614148556289
spring_20201103-4_T8,spring,20201103-4,T8,71622.5333333333,300263,23.8532664142213,13.133069457672676,cue,22.58598700889335,10.171905529518977,1617.6656074106975,2325.7092271584656
spring_20201103-4_T9,spring,20201103-4,T9,40797.1333333333,224420.5,18.1788799745715,11.466623502905438,cue,25.645118152837753,8.316469210454795,1046.2473046304085,1527.0980752033845
spring_20201103-5_T1,spring,20201103-5,T1,196602.966666667,337725.033333333,58.21391583745,6.639069576619833,cue,6.022534976772635,7.497989334852357,1184.0482432872645,1058.1317507789897
